Unicode,Bytes,Description
U+1F6A4,\xf0\x9f\x9a\xa4,speedboat
U+1F6A5,\xf0\x9f\x9a\xa5,horizontal_traffic_light
U+1F6A7,\xf0\x9f\x9a\xa7,construction_sign
U+1F6A8,\xf0\x9f\x9a\xa8,police_cars_revolving_light
U+1F6A9,\xf0\x9f\x9a\xa9,triangular_flag_on_post
U+1F6AA,\xf0\x9f\x9a\xaa,door
U+1F6AB,\xf0\x9f\x9a\xab,no_entry_sign
U+1F6AC,\xf0\x9f\x9a\xac,smoking_symbol
U+1F6AD,\xf0\x9f\x9a\xad,no_smoking_symbol
U+1F6B2,\xf0\x9f\x9a\xb2,bicycle
U+1F6B6,\xf0\x9f\x9a\xb6,pedestrian
U+1F6B9,\xf0\x9f\x9a\xb9,mens_symbol
U+1F6BA,\xf0\x9f\x9a\xba,womens_symbol
U+1F6BB,\xf0\x9f\x9a\xbb,restroom
U+1F6BC,\xf0\x9f\x9a\xbc,baby_symbol
U+1F6BD,\xf0\x9f\x9a\xbd,toilet
U+1F6BE,\xf0\x9f\x9a\xbe,water_closet
U+1F6C0,\xf0\x9f\x9b\x80,bath
U+24C2,\xe2\x93\x82,circled_latin_capital_letter_m
U+1F170,\xf0\x9f\x85\xb0,negative_squared_latin_capital_letter_a
U+1F171,\xf0\x9f\x85\xb1,negative_squared_latin_capital_letter_b
U+1F17E,\xf0\x9f\x85\xbe,negative_squared_latin_capital_letter_o
U+1F17F,\xf0\x9f\x85\xbf,negative_squared_latin_capital_letter_p
U+1F18E,\xf0\x9f\x86\x8e,negative_squared_ab
U+1F191,\xf0\x9f\x86\x91,squared_cl
U+1F192,\xf0\x9f\x86\x92,squared_cool
U+1F193,\xf0\x9f\x86\x93,squared_free
U+1F194,\xf0\x9f\x86\x94,squared_id
U+1F195,\xf0\x9f\x86\x95,squared_new
U+1F196,\xf0\x9f\x86\x96,squared_ng
U+1F197,\xf0\x9f\x86\x97,squared_ok
U+1F198,\xf0\x9f\x86\x98,squared_sos
U+1F199,\xf0\x9f\x86\x99,squared_up_with_exclamation_mark
U+1F19A,\xf0\x9f\x86\x9a,squared_vs
U+1F1E9_U+1F1EA,\xf0\x9f\x87\xa9\xf0\x9f\x87\xaa,regional_indicator_symbol_letter_d_+_regional_indicator_symbol_letter_e
U+1F1EC_U+1F1E7,\xf0\x9f\x87\xac\xf0\x9f\x87\xa7,regional_indicator_symbol_letter_g_+_regional_indicator_symbol_letter_b
U+1F1E8_U+1F1F3,\xf0\x9f\x87\xa8\xf0\x9f\x87\xb3,regional_indicator_symbol_letter_c_+_regional_indicator_symbol_letter_n
U+1F1EF_U+1F1F5,\xf0\x9f\x87\xaf\xf0\x9f\x87\xb5,regional_indicator_symbol_letter_j_+_regional_indicator_symbol_letter_p
U+1F1F0_U+1F1F7,\xf0\x9f\x87\xb0\xf0\x9f\x87\xb7,regional_indicator_symbol_letter_k_+_regional_indicator_symbol_letter_r
U+1F1EB_U+1F1F7,\xf0\x9f\x87\xab\xf0\x9f\x87\xb7,regional_indicator_symbol_letter_f_+_regional_indicator_symbol_letter_r
U+1F1EA_U+1F1F8,\xf0\x9f\x87\xaa\xf0\x9f\x87\xb8,regional_indicator_symbol_letter_e_+_regional_indicator_symbol_letter_s
U+1F1EE_U+1F1F9,\xf0\x9f\x87\xae\xf0\x9f\x87\xb9,regional_indicator_symbol_letter_i_+_regional_indicator_symbol_letter_t
U+1F1FA_U+1F1F8,\xf0\x9f\x87\xba\xf0\x9f\x87\xb8,regional_indicator_symbol_letter_u_+_regional_indicator_symbol_letter_s
U+1F1F7_U+1F1FA,\xf0\x9f\x87\xb7\xf0\x9f\x87\xba,regional_indicator_symbol_letter_r_+_regional_indicator_symbol_letter_u
U+1F201,\xf0\x9f\x88\x81,squared_katakana_koko
U+1F202,\xf0\x9f\x88\x82,squared_katakana_sa
U+1F21A,\xf0\x9f\x88\x9a,squared_cjk_unified_ideograph-7121
U+1F22F,\xf0\x9f\x88\xaf,squared_cjk_unified_ideograph-6307
U+1F232,\xf0\x9f\x88\xb2,squared_cjk_unified_ideograph-7981
U+1F233,\xf0\x9f\x88\xb3,squared_cjk_unified_ideograph-7a7a
U+1F234,\xf0\x9f\x88\xb4,squared_cjk_unified_ideograph-5408
U+1F235,\xf0\x9f\x88\xb5,squared_cjk_unified_ideograph-6e80
U+1F236,\xf0\x9f\x88\xb6,squared_cjk_unified_ideograph-6709
U+1F237,\xf0\x9f\x88\xb7,squared_cjk_unified_ideograph-6708
U+1F238,\xf0\x9f\x88\xb8,squared_cjk_unified_ideograph-7533
U+1F239,\xf0\x9f\x88\xb9,squared_cjk_unified_ideograph-5272
U+1F23A,\xf0\x9f\x88\xba,squared_cjk_unified_ideograph-55b6
U+1F250,\xf0\x9f\x89\x90,circled_ideograph_advantage
U+1F251,\xf0\x9f\x89\x91,circled_ideograph_accept
U+00A9,\xc2\xa9,copyright_sign
U+00AE,\xc2\xae,registered_sign
U+203C,\xe2\x80\xbc,double_exclamation_mark
U+2049,\xe2\x81\x89,exclamation_question_mark
U+0038_U+20E3,\x38\xe2\x83\xa3,digit_eight_+_combining_enclosing_keycap
U+0039_U+20E3,\x39\xe2\x83\xa3,digit_nine_+_combining_enclosing_keycap
U+0037_U+20E3,\x37\xe2\x83\xa3,digit_seven_+_combining_enclosing_keycap
U+0036_U+20E3,\x36\xe2\x83\xa3,digit_six_+_combining_enclosing_keycap
U+0031_U+20E3,\x31\xe2\x83\xa3,digit_one_+_combining_enclosing_keycap
U+0030_U+20E3,\x30\xe2\x83\xa3,digit_zero_+_combining_enclosing_keycap
U+0032_U+20E3,\x32\xe2\x83\xa3,digit_two_+_combining_enclosing_keycap
U+0033_U+20E3,\x33\xe2\x83\xa3,digit_three_+_combining_enclosing_keycap
U+0035_U+20E3,\x35\xe2\x83\xa3,digit_five_+_combining_enclosing_keycap
U+0034_U+20E3,\x34\xe2\x83\xa3,digit_four_+_combining_enclosing_keycap
U+0023_U+20E3,\x23\xe2\x83\xa3,number_sign_+_combining_enclosing_keycap
U+2122,\xe2\x84\xa2,trade_mark_sign
U+2139,\xe2\x84\xb9,information_source
U+2194,\xe2\x86\x94,left_right_arrow
U+2195,\xe2\x86\x95,up_down_arrow
U+2196,\xe2\x86\x96,north_west_arrow
U+2197,\xe2\x86\x97,north_east_arrow
U+2198,\xe2\x86\x98,south_east_arrow
U+2199,\xe2\x86\x99,south_west_arrow
U+21A9,\xe2\x86\xa9,leftwards_arrow_with_hook
U+21AA,\xe2\x86\xaa,rightwards_arrow_with_hook
U+231A,\xe2\x8c\x9a,watch
U+231B,\xe2\x8c\x9b,hourglass
U+23E9,\xe2\x8f\xa9,black_right-pointing_double_triangle
U+23EA,\xe2\x8f\xaa,black_left-pointing_double_triangle
U+23EB,\xe2\x8f\xab,black_up-pointing_double_triangle
U+23EC,\xe2\x8f\xac,black_down-pointing_double_triangle
U+23F0,\xe2\x8f\xb0,alarm_clock
U+23F3,\xe2\x8f\xb3,hourglass_with_flowing_sand
U+25AA,\xe2\x96\xaa,black_small_square
U+25AB,\xe2\x96\xab,white_small_square
U+25B6,\xe2\x96\xb6,black_right-pointing_triangle
U+25C0,\xe2\x97\x80,black_left-pointing_triangle
U+25FB,\xe2\x97\xbb,white_medium_square
U+25FC,\xe2\x97\xbc,black_medium_square
U+25FD,\xe2\x97\xbd,white_medium_small_square
U+25FE,\xe2\x97\xbe,black_medium_small_square
U+2600,\xe2\x98\x80,black_sun_with_rays
U+2601,\xe2\x98\x81,cloud
U+260E,\xe2\x98\x8e,black_telephone
U+2611,\xe2\x98\x91,ballot_box_with_check
U+2614,\xe2\x98\x94,umbrella_with_rain_drops
U+2615,\xe2\x98\x95,hot_beverage
U+261D,\xe2\x98\x9d,white_up_pointing_index
U+263A,\xe2\x98\xba,white_smiling_face
U+2648,\xe2\x99\x88,aries
U+2649,\xe2\x99\x89,taurus
U+264A,\xe2\x99\x8a,gemini
U+264B,\xe2\x99\x8b,cancer
U+264C,\xe2\x99\x8c,leo
U+264D,\xe2\x99\x8d,virgo
U+264E,\xe2\x99\x8e,libra
U+264F,\xe2\x99\x8f,scorpius
U+2650,\xe2\x99\x90,sagittarius
U+2651,\xe2\x99\x91,capricorn
U+2652,\xe2\x99\x92,aquarius
U+2653,\xe2\x99\x93,pisces
U+2660,\xe2\x99\xa0,black_spade_suit
U+2663,\xe2\x99\xa3,black_club_suit
U+2665,\xe2\x99\xa5,black_heart_suit
U+2666,\xe2\x99\xa6,black_diamond_suit
U+2668,\xe2\x99\xa8,hot_springs
U+267B,\xe2\x99\xbb,black_universal_recycling_symbol
U+267F,\xe2\x99\xbf,wheelchair_symbol
U+2693,\xe2\x9a\x93,anchor
U+26A0,\xe2\x9a\xa0,warning_sign
U+26A1,\xe2\x9a\xa1,high_voltage_sign
U+26AA,\xe2\x9a\xaa,medium_white_circle
U+26AB,\xe2\x9a\xab,medium_black_circle
U+26BD,\xe2\x9a\xbd,soccer_ball
U+26BE,\xe2\x9a\xbe,baseball
U+26C4,\xe2\x9b\x84,snowman_without_snow
U+26C5,\xe2\x9b\x85,sun_behind_cloud
U+26CE,\xe2\x9b\x8e,ophiuchus
U+26D4,\xe2\x9b\x94,no_entry
U+26EA,\xe2\x9b\xaa,church
U+26F2,\xe2\x9b\xb2,fountain
U+26F3,\xe2\x9b\xb3,flag_in_hole
